event_id,event_date,latitude,longitude,landslide_trigger,landslide_size,fatality_count,location_description
5022,07/04/2013 12:00:00 AM,29.58,80.2214,downpour,medium,,"Pithoragarh Tehsil, Uttarakhand"
4966,06/19/2013 12:00:00 AM,29.5935,79.6805,rain,medium,0,"Almora, Uttarakhand"
3746,07/08/2011 12:00:00 AM,30.6509,79.5192,downpour,medium,0,Lambagad
4551,09/14/2012 12:00:00 AM,29.841,79.7758,downpour,large,9,"Bageshwar, Uttarakhand"
7012,06/25/2015 12:00:00 AM,30.6838,79.0479,downpour,medium,0,5 km from Kedarnath Temple
2291,08/20/2010 12:00:00 AM,30.966,78.4151,downpour,medium,0,"Ranachatti(?), route to Yamunotri, Garwhal division, Uttarakhand"
2478,09/20/2010 12:00:00 AM,30.7332,78.4401,downpour,medium,0,"roads around Uttarkashi, Uttarakhand"
7273,07/26/2015 12:00:00 AM,30.2411,78.9014,continuous_rain,medium,0,"Sirobagad, Rishikesh-Badrinath highway"
2458,09/19/2010 12:00:00 AM,30.9015,78.7756,downpour,medium,0,"roads to Gangotri, Uttarakhand"
5360,08/18/2013 12:00:00 AM,30.3642,79.3158,rain,medium,,"Chamoli District, Uttarakhand"
1072,08/08/2009 02:00:00 AM,29.5885,80.2098,downpour,large,15,"Bala, Pithoragarh, Uttarakhand (450Km from Deheradun)"
4914,06/12/2013 10:00:00 PM,30.7394,78.5306,downpour,medium,0,"Rishikesh-Gangotri National Highway Near Mari Sainji Village, Uttarkashi, Uttarakhand"
7310,08/15/2015 12:00:00 AM,30.9085,78.3299,continuous_rain,medium,0,Yamnotri highway
3668,06/29/2011 12:00:00 AM,29.607,79.9298,downpour,medium,0,"Almora-Pithoragarh road, between Makrau and Thiari"
3674,06/29/2011 12:00:00 AM,30.0667,79.0193,downpour,large,10,Several roads in Uttarakhand
2470,09/19/2010 12:00:00 AM,30.4326,78.0767,downpour,medium,0,"Dehradun-Mussoorie rd, Himachal Pradesh"
3757,07/10/2011 12:00:00 AM,30.7333,78.4399,downpour,medium,0,Nalupani area in Uttarkashi district
3900,08/08/2011 12:00:00 AM,30.6521,79.5566,downpour,medium,0,"Govindghat, on the Rishikesh-Badrinath highway"
5320,08/13/2013 08:00:00 AM,30.6014,78.3449,downpour,medium,2,"Kot Village Of Tehri District, Uttarakhand"
5130,07/18/2013 12:00:00 AM,30.7314,78.4347,downpour,small,0,"Netali Maneri Marg, Uttarkashi District, Uttarakhand"
3141,02/23/2011 12:00:00 AM,30.4749,79.2293,downpour,medium,0,"Rishikesh-Badrinath national highway to Rudraprayag, Chamoli, and Badrinath, Uttarakhand"
3913,08/12/2011 12:00:00 AM,29.9121,78.1723,rain,medium,0,"The Chardham yatra, shrines of Badrinath, Kedarnath, Gangotri, and Yamunotri"
4975,06/24/2013 10:00:00 PM,30.2524,78.9228,downpour,medium,0,"Sirobhgarh Bend, Srinagar-Rudraprayag Highway, Uttarakhand, Northern India"
3678,06/30/2011 12:00:00 AM,30.15,78.7753,downpour,medium,0,"Pauri-Safdarkhal road, blocked at Khundadhar"
2390,09/04/2010 12:00:00 AM,30.796,78.623,downpour,medium,0,"Karmkund(?), on Rishikesh-Gangotri hwy"
3558,05/31/2011 12:00:00 AM,30.9206,78.3276,rain,medium,0,"road to Yamunotri shrine, Uttarakashi"
5183,07/24/2013 12:00:00 AM,30.3056,79.3286,downpour,medium,0,"Tefana, Uttarakhand"
2444,09/18/2010 12:00:00 AM,29.2484,79.5371,downpour,medium,4,"Nainital district, Uttarakhand"
2202,08/05/2010 08:00:00 AM,30.4068,79.3351,downpour,medium,5,"Basantpur or Gouchar village (two conflicting sources), Chamoli district"
5224,07/28/2013 12:00:00 AM,29.9964,80.201,downpour,small,1,"Samkot Village Of Pithoragarhi, Uttarakhand"
2229,08/09/2010 12:00:00 AM,30.5151,78.3684,downpour,medium,0,"Menagarh near Sukki on Rishikesh – Gangotri highway, Uttarakhand "
2339,08/26/2010 08:00:00 AM,30.365,78.0641,downpour,medium,0,"Matak Mahari(?), near Dehradun, Uttarakhand"
149,07/30/2007 12:00:00 AM,30.557,79.56,downpour,medium,,Joshimath
